"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"        Estimate","7,095","20.6%","39.5%","37.8%","2.1%","54,138","4.4%","9.7%","42.5%","22.8%","8.1%","9.0%","3.5%","85.8%","12.5%","9,372","87.3%","11.5%","11,196","89.1%","12.5%","22,204","88.1%","13.8%","11,366","77.1%","10.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,726","22.1%","44.9%","32.3%","0.7%","26,090","4.1%","9.3%","44.3%","22.0%","8.7%","8.3%","3.3%","86.6%","11.6%","4,469","86.3%","6.6%","5,631","87.9%","12.8%","10,953","89.9%","12.2%","5,037","78.3%","13.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,369","19.0%","33.6%","43.8%","3.7%","28,048","4.7%","10.2%","40.8%","23.5%","7.6%","9.7%","3.6%","85.1%","13.2%","4,903","88.2%","15.9%","5,565","90.3%","12.1%","11,251","86.3%","15.4%","6,329","76.2%","8.4%"
"Palo Pinto County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,238","22.0%","49.9%","23.2%","4.9%","18,615","9.9%","13.2%","34.6%","24.7%","3.8%","9.2%","4.5%","76.8%","13.7%","3,006","76.7%","13.0%","3,427","76.7%","13.5%","7,733","78.2%","14.0%","4,449","74.5%","13.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,168","27.9%","48.5%","18.3%","5.2%","8,893","11.5%","13.3%","36.8%","20.3%","3.6%","10.1%","4.3%","75.2%","14.4%","1,419","73.9%","11.1%","1,704","73.1%","11.2%","3,750","75.8%","15.4%","2,020","76.6%","17.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,070","15.5%","51.4%","28.6%","4.5%","9,722","8.5%","13.2%","32.6%","28.6%","4.0%","8.4%","4.6%","78.3%","13.0%","1,587","79.3%","14.6%","1,723","80.3%","15.7%","3,983","80.5%","12.8%","2,429","72.7%","10.5%"
"Panola County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,185","25.1%","39.9%","34.4%","0.6%","15,544","6.5%","12.0%","37.3%","25.7%","7.0%","8.2%","3.2%","81.5%","11.4%","2,576","84.4%","9.7%","2,665","88.8%","18.6%","6,638","82.4%","10.4%","3,665","72.4%","9.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,166","28.5%","45.2%","25.6%","0.7%","7,387","7.6%","12.4%","41.0%","24.7%","3.6%","7.9%","2.8%","80.0%","10.7%","1,222","83.5%","6.5%","1,271","81.8%","14.0%","3,320","79.4%","11.0%","1,574","77.0%","10.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,019","21.3%","33.9%","44.4%","0.5%","8,157","5.4%","11.7%","34.1%","26.7%","10.1%","8.4%","3.6%","82.8%","12.0%","1,354","85.3%","12.7%","1,394","95.2%","22.8%","3,318","85.4%","9.7%","2,091","69.0%","7.7%"
"Parker County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,606","18.5%","34.4%","43.6%","3.6%","73,335","3.7%","10.8%","29.0%","26.4%","7.6%","15.3%","7.1%","85.4%","22.4%","12,224","86.1%","18.5%","16,122","85.2%","23.0%","31,877","89.2%","25.1%","13,112","75.9%","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,183","22.9%","36.6%","37.5%","3.0%","36,493","4.2%","11.2%","29.4%","25.3%","7.2%","14.3%","8.4%","84.6%","22.7%","6,375","82.0%","13.8%","7,940","83.0%","21.3%","16,068","89.3%","26.5%","6,110","77.0%","24.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,423","13.3%","31.7%","50.6%","4.3%","36,842","3.2%","10.5%","28.6%","27.6%","8.0%","16.2%","5.8%","86.3%","22.1%","5,849","90.6%","23.5%","8,182","87.3%","24.7%","15,809","89.1%","23.8%","7,002","75.0%","13.9%"
"Parmer County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","894","25.4%","42.1%","30.2%","2.3%","6,017","22.5%","12.5%","24.7%","18.5%","6.1%","13.7%","2.0%","65.0%","15.7%","1,290","66.6%","17.5%","1,234","54.5%","10.8%","2,258","67.0%","17.8%","1,235","70.3%","14.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","469","26.7%","51.4%","22.0%","0.0%","3,043","24.1%","13.9%","25.2%","17.5%","3.6%","13.1%","2.7%","62.0%","15.8%","705","64.1%","19.7%","616","50.6%","7.5%","1,164","64.8%","16.2%","558","66.3%","19.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","425","24.0%","31.8%","39.3%","4.9%","2,974","20.9%","11.0%","24.3%","19.5%","8.7%","14.3%","1.3%","68.1%","15.6%","585","69.6%","14.9%","618","58.4%","14.1%","1,094","69.4%","19.5%","677","73.6%","11.4%"
"Pecos County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,494","23.3%","51.0%","25.4%","0.3%","10,143","20.2%","14.7%","31.8%","18.6%","3.3%","7.2%","4.1%","65.1%","11.3%","2,228","65.5%","8.4%","2,150","76.1%","8.7%","3,920","67.6%","14.4%","1,845","46.6%","11.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","846","31.1%","47.4%","21.0%","0.5%","5,920","22.4%","15.5%","30.5%","19.0%","3.0%","6.0%","3.7%","62.1%","9.7%","1,437","55.3%","4.7%","1,314","73.7%","5.3%","2,258","67.9%","13.7%","911","41.8%","13.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","648","13.1%","55.7%","31.2%","0.0%","4,223","17.1%","13.5%","33.7%","18.1%","3.8%","9.0%","4.7%","69.3%","13.7%","791","84.1%","15.3%","836","80.0%","14.0%","1,662","67.1%","15.4%","934","51.2%","8.9%"
"Polk County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,584","25.3%","44.7%","27.0%","3.0%","32,493","8.7%","16.3%","37.8%","21.3%","5.3%","7.0%","3.6%","74.9%","10.6%","4,970","70.3%","9.3%","5,657","77.2%","6.8%","13,190","77.7%","10.4%","8,676","71.9%","14.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,082","32.8%","44.1%","20.7%","2.4%","17,227","8.6%","15.9%","40.4%","20.5%","4.8%","6.5%","3.3%","75.5%","9.9%","2,997","67.6%","4.1%","3,265","77.5%","4.7%","6,805","79.8%","9.4%","4,160","72.9%","18.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,502","15.0%","45.5%","35.6%","3.9%","15,266","8.9%","16.9%","34.8%","22.2%","5.7%","7.5%","4.0%","74.2%","11.5%","1,973","74.5%","17.1%","2,392","76.8%","9.5%","6,385","75.5%","11.5%","4,516","71.0%","10.1%"
"Potter County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,209","26.5%","33.8%","37.2%","2.6%","74,629","11.2%","13.4%","28.1%","26.4%","5.9%","10.4%","4.6%","75.4%","15.0%","17,836","74.6%","13.3%","16,053","74.5%","11.6%","27,647","79.2%","17.8%","13,093","69.6%","15.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,245","26.8%","38.0%","33.3%","1.9%","38,106","11.7%","14.4%","28.3%","25.2%","4.9%","10.3%","5.1%","73.9%","15.4%","9,352","72.8%","11.0%","8,865","72.6%","10.9%","14,397","77.2%","18.5%","5,492","69.1%","22.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,964","26.1%","29.4%","41.3%","3.3%","36,523","10.6%","12.4%","27.9%","27.6%","6.9%","10.5%","4.1%","77.0%","14.6%","8,484","76.6%","15.9%","7,188","76.8%","12.5%","13,250","81.4%","17.0%","7,601","69.9%","11.0%"
"Presidio County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","630","60.3%","26.0%","7.1%","6.5%","4,771","37.6%","8.7%","22.2%","12.7%","1.0%","12.9%","4.9%","53.7%","17.8%","647","80.7%","30.6%","890","69.9%","15.3%","1,959","55.5%","21.6%","1,275","25.9%","7.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339","73.5%","21.5%","5.0%","0.0%","2,077","39.8%","9.0%","15.9%","10.2%","0.6%","18.8%","5.7%","51.2%","24.5%","297","75.8%","47.1%","336","78.0%","22.3%","888","55.4%","28.8%","556","15.1%","6.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291","45.0%","31.3%","9.6%","14.1%","2,694","35.8%","8.5%","27.0%","14.6%","1.4%","8.4%","4.2%","55.6%","12.7%","350","84.9%","16.6%","554","65.0%","11.0%","1,071","55.6%","15.7%","719","34.2%","7.5%"
"Rains County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","815","8.0%","56.1%","28.7%","7.2%","7,667","5.8%","13.4%","40.3%","23.5%","5.0%","8.8%","3.2%","80.8%","12.1%","978","87.2%","9.5%","1,276","78.5%","8.4%","3,326","83.1%","14.9%","2,087","75.5%","11.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","501","10.0%","52.3%","28.5%","9.2%","3,728","7.6%","15.9%","37.9%","24.2%","3.7%","8.7%","2.1%","76.5%","10.8%","450","81.1%","9.8%","611","76.9%","2.6%","1,633","77.5%","13.5%","1,034","72.8%","11.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314","4.8%","62.1%","29.0%","4.1%","3,939","4.1%","11.0%","42.6%","22.8%","6.2%","9.0%","4.3%","84.9%","13.3%","528","92.4%","9.3%","665","80.0%","13.7%","1,693","88.6%","16.2%","1,053","78.2%","10.3%"
"Randall County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,449","10.9%","28.9%","53.6%","6.5%","74,274","2.6%","6.1%","24.5%","28.3%","8.4%","20.3%","9.8%","91.3%","30.1%","15,227","91.6%","31.3%","14,792","91.3%","27.8%","29,738","93.1%","32.7%","14,517","87.2%","25.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,630","13.8%","33.8%","47.1%","5.3%","35,250","2.6%","6.2%","24.8%","28.2%","8.1%","19.1%","11.1%","91.2%","30.2%","7,524","92.6%","29.4%","7,092","90.8%","24.4%","14,426","92.6%","33.4%","6,208","86.8%","30.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,819","8.1%","24.2%","59.9%","7.8%","39,024","2.6%","6.1%","24.3%","28.4%","8.8%","21.3%","8.6%","91.3%","29.9%","7,703","90.7%","33.1%","7,700","91.8%","31.1%","15,312","93.5%","32.2%","8,309","87.5%","21.8%"
"Reagan County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367","27.5%","46.9%","23.7%","1.9%","1,918","20.3%","11.3%","34.7%","19.1%","4.6%","5.7%","4.3%","68.5%","10.0%","447","72.3%","2.5%","413","69.5%","18.2%","809","70.5%","11.9%","249","53.4%","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","217","18.9%","59.0%","22.1%","0.0%","974","24.9%","10.2%","33.2%","16.2%","4.5%","4.3%","6.7%","64.9%","11.0%","248","69.0%","0.0%","193","54.4%","27.5%","406","68.5%","11.1%","127","61.4%","7.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","150","40.0%","29.3%","26.0%","4.7%","944","15.5%","12.4%","36.2%","22.1%","4.8%","7.1%","1.9%","72.1%","9.0%","199","76.4%","5.5%","220","82.7%","10.0%","403","72.5%","12.7%","122","45.1%","0.8%"
"Real County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189","41.8%","31.2%","27.0%","0.0%","2,311","10.3%","12.1%","27.0%","26.4%","4.9%","14.8%","4.6%","77.6%","19.4%","157","75.8%","10.8%","320","63.1%","17.5%","939","83.1%","18.1%","895","77.3%","22.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90","36.7%","33.3%","30.0%","0.0%","1,167","10.0%","12.7%","25.5%","28.0%","4.0%","15.3%","4.5%","77.3%","19.7%","65","72.3%","12.3%","176","63.6%","9.7%","461","83.5%","18.4%","465","77.0%","25.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99","46.5%","29.3%","24.2%","0.0%","1,144","10.7%","11.5%","28.4%","24.7%","5.8%","14.3%","4.7%","77.9%","19.1%","92","78.3%","9.8%","144","62.5%","27.1%","478","82.6%","17.8%","430","77.7%","19.8%"
"Red River County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","889","15.5%","35.0%","45.2%","4.3%","9,234","10.1%","17.4%","37.2%","21.4%","5.3%","6.4%","2.1%","72.5%","8.6%","1,322","80.3%","7.9%","1,592","72.4%","7.3%","3,751","77.8%","9.7%","2,569","60.7%","8.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","430","21.6%","35.8%","39.1%","3.5%","4,341","12.2%","18.8%","36.5%","21.6%","2.4%","7.1%","1.4%","69.0%","8.5%","619","78.8%","9.4%","722","60.2%","6.6%","1,840","74.6%","8.0%","1,160","60.3%","9.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","459","9.8%","34.2%","51.0%","5.0%","4,893","8.3%","16.1%","37.8%","21.2%","7.9%","5.9%","2.8%","75.6%","8.6%","703","81.5%","6.5%","870","82.5%","7.8%","1,911","80.9%","11.2%","1,409","61.1%","6.7%"
"Reeves County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,176","36.3%","40.4%","22.7%","0.6%","7,996","27.3%","19.9%","29.1%","12.0%","4.2%","6.0%","1.6%","52.8%","7.6%","1,622","68.1%","7.5%","1,654","62.2%","9.2%","3,116","56.5%","8.7%","1,604","20.4%","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,332","34.3%","54.5%","10.1%","1.1%","4,310","27.6%","21.4%","29.2%","12.9%","1.7%","5.5%","1.8%","51.0%","7.2%","952","63.7%","7.2%","912","55.9%","7.8%","1,695","55.5%","8.7%","751","18.5%","3.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","844","39.5%","18.1%","42.4%","0.0%","3,686","26.9%","18.2%","28.9%","10.9%","7.1%","6.7%","1.4%","55.0%","8.0%","670","74.5%","7.8%","742","69.8%","10.9%","1,421","57.7%","8.8%","853","22.2%","4.5%"
"Refugio County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","637","21.2%","44.0%","34.9%","0.0%","5,044","14.8%","12.5%","32.9%","24.6%","4.0%","7.3%","3.9%","72.7%","11.2%","672","75.1%","8.9%","1,040","91.5%","9.8%","1,963","76.1%","14.9%","1,369","52.4%","8.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","354","21.8%","48.6%","29.7%","0.0%","2,465","16.5%","13.0%","35.9%","21.4%","3.4%","5.5%","4.4%","70.5%","9.9%","429","68.8%","2.8%","434","91.0%","0.9%","975","73.9%","17.6%","627","52.3%","8.9%"
