"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"        Estimate","335","8.4%","22.1%","65.7%","3.9%","4,254","1.5%","6.8%","32.5%","22.5%","7.5%","19.7%","9.4%","91.7%","29.1%","415","95.7%","27.7%","457","98.2%","38.3%","1,839","95.9%","31.4%","1,543","83.7%","24.2%"
"Montgomery County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,991","3.0%","13.5%","71.0%","12.6%","51,553","3.6%","5.9%","21.9%","17.0%","7.3%","22.0%","22.3%","90.4%","44.3%","12,645","96.4%","59.3%","9,907","95.0%","47.9%","19,072","90.3%","39.1%","9,929","78.4%","31.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,205","4.7%","12.9%","73.5%","8.8%","25,675","4.2%","6.0%","21.5%","16.3%","5.9%","21.8%","24.4%","89.8%","46.2%","6,989","95.1%","51.1%","5,009","92.4%","46.4%","9,314","89.7%","43.9%","4,363","78.7%","42.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,786","0.8%","14.2%","67.8%","17.3%","25,878","3.1%","5.9%","22.3%","17.7%","8.6%","22.2%","20.2%","91.0%","42.4%","5,656","98.1%","69.3%","4,898","97.7%","49.4%","9,758","90.9%","34.4%","5,566","78.1%","22.9%"
"Nelson County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","973","14.3%","49.5%","28.0%","8.2%","10,946","8.2%","8.6%","33.5%","15.9%","4.9%","15.7%","13.3%","83.3%","29.0%","1,451","91.7%","27.7%","1,528","93.1%","24.1%","4,738","86.6%","29.3%","3,229","69.9%","31.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","509","24.2%","40.5%","32.6%","2.8%","5,209","11.3%","6.8%","36.7%","16.8%","3.7%","13.9%","10.9%","82.0%","24.8%","755","93.9%","18.1%","703","91.3%","8.0%","2,244","81.2%","25.4%","1,507","72.8%","35.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","464","3.4%","59.5%","22.8%","14.2%","5,737","5.4%","10.2%","30.7%","15.1%","5.9%","17.3%","15.4%","84.4%","32.7%","696","89.4%","38.1%","825","94.7%","37.9%","2,494","91.4%","32.8%","1,722","67.4%","27.9%"
"New Kent County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,321","13.5%","40.3%","37.2%","8.9%","13,640","2.4%","8.6%","31.4%","24.6%","8.3%","17.5%","7.1%","89.0%","24.6%","1,933","90.9%","34.8%","2,655","92.7%","19.8%","6,497","90.5%","26.8%","2,555","79.9%","16.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","685","6.3%","49.6%","36.2%","7.9%","6,922","2.8%","10.6%","34.6%","24.6%","6.3%","15.3%","5.8%","86.6%","21.1%","981","88.8%","27.4%","1,357","90.9%","15.2%","3,304","86.6%","21.4%","1,280","80.2%","21.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","636","21.2%","30.3%","38.4%","10.1%","6,718","2.0%","6.5%","28.1%","24.6%","10.4%","19.8%","8.5%","91.5%","28.3%","952","93.1%","42.4%","1,298","94.5%","24.7%","3,193","94.5%","32.3%","1,275","79.7%","11.5%"
"Northampton County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","764","23.4%","42.4%","26.8%","7.3%","9,090","9.3%","11.5%","34.8%","18.1%","5.9%","13.7%","6.7%","79.1%","20.4%","1,267","80.1%","9.9%","1,268","87.9%","26.7%","3,671","83.4%","24.8%","2,884","69.4%","16.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","376","33.8%","50.5%","9.6%","6.1%","4,195","11.7%","10.9%","36.9%","16.7%","3.8%","13.5%","6.5%","77.3%","20.0%","627","76.6%","6.9%","628","81.7%","21.8%","1,688","82.0%","21.8%","1,252","69.2%","23.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","388","13.4%","34.5%","43.6%","8.5%","4,895","7.3%","12.1%","33.0%","19.2%","7.7%","13.9%","6.9%","80.7%","20.8%","640","83.6%","13.0%","640","94.1%","31.4%","1,983","84.5%","27.3%","1,632","69.6%","11.8%"
"Northumberland County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","612","16.7%","40.4%","43.0%","0.0%","9,727","4.7%","9.3%","31.9%","24.8%","5.7%","15.6%","8.0%","86.0%","23.6%","930","96.7%","3.8%","839","94.3%","30.6%","3,992","84.4%","22.8%","3,966","83.4%","27.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345","13.6%","68.7%","17.7%","0.0%","4,626","5.6%","10.5%","34.5%","19.8%","4.7%","13.5%","11.5%","83.9%","25.0%","443","93.0%","0.0%","337","89.9%","26.1%","1,926","81.9%","21.7%","1,920","82.8%","33.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","267","20.6%","3.7%","75.7%","0.0%","5,101","4.0%","8.2%","29.5%","29.3%","6.7%","17.5%","4.9%","87.9%","22.4%","487","100.0%","7.2%","502","97.2%","33.7%","2,066","86.7%","23.8%","2,046","83.9%","21.8%"
"Nottoway County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,384","26.9%","36.0%","37.1%","0.0%","11,178","11.5%","12.6%","38.8%","18.7%","6.1%","8.4%","3.8%","75.9%","12.2%","2,053","73.5%","13.0%","2,003","90.7%","9.8%","4,353","78.5%","13.3%","2,769","62.9%","11.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","887","23.3%","41.4%","35.3%","0.0%","5,757","11.8%","15.6%","42.6%","16.0%","5.0%","6.6%","2.4%","72.6%","9.1%","1,060","62.2%","6.7%","1,216","88.6%","5.0%","2,297","71.9%","8.3%","1,184","66.9%","16.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","497","33.2%","26.4%","40.4%","0.0%","5,421","11.1%","9.5%","34.7%","21.6%","7.4%","10.3%","5.3%","79.3%","15.6%","993","85.5%","19.6%","787","93.9%","17.2%","2,056","85.7%","18.8%","1,585","59.9%","8.1%"
"Orange County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,539","10.7%","45.1%","38.8%","5.5%","24,043","4.5%","9.0%","34.2%","22.1%","6.1%","14.7%","9.3%","86.4%","24.0%","3,782","91.5%","22.5%","4,074","92.6%","22.1%","9,753","85.2%","24.6%","6,434","81.4%","25.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,342","8.6%","55.4%","30.6%","5.3%","11,597","4.9%","9.1%","35.5%","20.3%","4.6%","14.8%","10.7%","86.0%","25.6%","1,918","90.1%","26.1%","2,058","91.4%","20.2%","4,741","84.8%","24.8%","2,880","81.3%","30.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,197","12.9%","33.4%","47.9%","5.8%","12,446","4.2%","9.0%","33.0%","23.8%","7.6%","14.5%","7.9%","86.8%","22.4%","1,864","92.9%","18.8%","2,016","93.8%","24.0%","5,012","85.6%","24.5%","3,554","81.5%","20.6%"
"Page County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,848","17.8%","38.2%","37.5%","6.5%","17,124","10.3%","14.2%","41.2%","17.3%","4.6%","7.9%","4.5%","75.4%","12.4%","2,590","85.8%","10.5%","2,960","85.6%","16.3%","7,083","77.2%","12.7%","4,491","60.1%","10.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","900","20.7%","43.9%","25.9%","9.6%","8,386","12.3%","16.4%","42.4%","15.5%","2.5%","6.3%","4.6%","71.3%","10.9%","1,322","81.0%","6.8%","1,471","82.3%","10.0%","3,528","69.0%","11.6%","2,065","61.1%","12.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","948","15.1%","32.8%","48.5%","3.6%","8,738","8.4%","12.1%","40.0%","18.9%","6.7%","9.4%","4.4%","79.4%","13.8%","1,268","90.8%","14.4%","1,489","88.9%","22.5%","3,555","85.3%","13.7%","2,426","59.2%","8.5%"
"Patrick County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,226","10.3%","42.4%","43.6%","3.8%","13,657","8.0%","13.5%","36.4%","21.8%","9.1%","7.4%","3.9%","78.5%","11.2%","1,492","77.2%","14.6%","2,347","87.1%","8.2%","5,641","86.8%","12.4%","4,177","62.9%","10.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","644","7.8%","53.1%","33.1%","6.1%","6,589","10.9%","15.2%","32.9%","23.1%","6.9%","8.6%","2.5%","73.9%","11.1%","751","70.6%","12.4%","1,210","83.7%","7.7%","2,755","81.7%","11.0%","1,873","57.4%","12.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","582","13.1%","30.6%","55.2%","1.2%","7,068","5.4%","11.8%","39.7%","20.6%","11.1%","6.2%","5.1%","82.8%","11.4%","741","83.9%","16.9%","1,137","90.7%","8.8%","2,886","91.6%","13.7%","2,304","67.4%","8.0%"
"Pittsylvania County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,625","15.1%","38.2%","40.8%","5.9%","45,476","7.9%","11.9%","35.4%","22.2%","8.6%","9.5%","4.5%","80.2%","14.0%","6,274","90.0%","18.3%","7,750","87.9%","15.1%","19,764","83.5%","14.1%","11,688","64.3%","10.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,472","18.3%","40.3%","36.9%","4.5%","22,001","9.0%","14.3%","37.6%","20.8%","6.6%","8.0%","3.7%","76.7%","11.7%","3,150","88.0%","12.5%","3,928","83.9%","9.6%","9,722","79.2%","12.2%","5,201","60.0%","11.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,153","11.4%","35.7%","45.3%","7.6%","23,475","7.0%","9.6%","33.3%","23.6%","10.4%","10.8%","5.3%","83.5%","16.2%","3,124","92.0%","24.1%","3,822","92.0%","20.8%","10,042","87.7%","16.0%","6,487","67.8%","9.9%"
"Powhatan County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,235","18.5%","52.5%","25.6%","3.4%","20,100","3.9%","7.7%","29.2%","23.5%","7.7%","19.5%","8.5%","88.4%","28.0%","2,907","90.6%","29.5%","4,182","88.7%","27.9%","9,057","90.7%","28.7%","3,954","81.2%","25.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,412","24.2%","53.3%","20.4%","2.1%","10,680","5.0%","10.1%","32.6%","18.9%","5.7%","18.9%","8.7%","84.9%","27.7%","1,672","87.1%","21.0%","2,283","83.2%","19.9%","4,798","86.2%","30.7%","1,927","81.6%","35.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","823","8.7%","51.0%","34.6%","5.6%","9,420","2.6%","5.0%","25.3%","28.8%","9.9%","20.2%","8.3%","92.4%","28.5%","1,235","95.2%","41.1%","1,899","95.3%","37.5%","4,259","95.8%","26.5%","2,027","80.9%","16.4%"
"Prince Edward County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,351","5.3%","20.8%","69.2%","4.7%","12,951","7.7%","13.2%","34.6%","17.6%","4.5%","11.1%","11.3%","79.1%","22.4%","1,903","93.7%","25.1%","2,429","87.7%","25.8%","5,246","73.8%","22.1%","3,373","73.0%","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,331","5.3%","24.0%","66.4%","4.2%","6,151","8.6%","14.2%","36.1%","17.7%","3.0%","9.8%","10.6%","77.2%","20.5%","919","92.8%","16.9%","1,190","82.2%","18.0%","2,624","70.2%","20.5%","1,418","75.8%","24.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,020","5.4%","17.1%","72.2%","5.3%","6,800","6.9%","12.3%","33.3%","17.5%","5.9%","12.4%","11.9%","80.9%","24.2%","984","94.5%","32.8%","1,239","93.0%","33.3%","2,622","77.4%","23.7%","1,955","70.9%","14.9%"
"Prince George County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,602","10.5%","41.5%","41.3%","6.7%","25,186","4.1%","9.1%","34.7%","25.0%","8.5%","12.5%","6.0%","86.8%","18.5%","5,417","91.3%","16.4%","5,627","89.5%","18.1%","9,956","86.7%","20.2%","4,186","77.4%","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,057","12.8%","46.0%","37.7%","3.5%","14,089","4.0%","9.0%","39.5%","25.0%","7.3%","11.0%","4.1%","87.0%","15.1%","3,408","91.2%","9.9%","3,333","89.4%","13.1%","5,364","84.8%","16.1%","1,984","81.5%","24.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,545","7.6%","35.5%","46.1%","10.8%","11,097","4.3%","9.1%","28.6%","25.1%","10.0%","14.4%","8.5%","86.6%","23.0%","2,009","91.6%","27.4%","2,294","89.7%","25.5%","4,592","88.9%","25.0%","2,202","73.8%","11.9%"
"Prince William County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,555","14.0%","33.2%","42.6%","10.2%","269,324","4.9%","5.4%","21.8%","22.1%","7.5%","22.7%","15.4%","89.6%","38.1%","63,268","90.7%","34.7%","67,234","88.8%","41.4%","106,623","91.1%","40.0%","32,199","84.4%","31.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,509","14.8%","39.1%","39.3%","6.8%","131,504","4.7%","6.0%","21.8%","21.8%","7.0%","21.5%","17.2%","89.3%","38.7%","31,446","88.7%","29.1%","33,175","88.5%","39.5%","52,668","90.5%","42.7%","14,215","87.9%","43.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,046","13.1%","26.9%","46.1%","13.9%","137,820","5.2%","4.9%","21.9%","22.4%","8.0%","24.0%","13.6%","89.9%","37.6%","31,822","92.6%","40.2%","34,059","89.0%","43.3%","53,955","91.7%","37.3%","17,984","81.6%","23.1%"
"Pulaski County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,510","11.4%","29.0%","50.0%","9.7%","25,592","6.5%","10.8%","32.6%","22.6%","11.2%","11.1%","5.3%","82.7%","16.4%","3,704","92.7%","19.6%","4,691","85.9%","19.3%","10,409","86.6%","16.1%","6,788","69.0%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,336","9.4%","32.4%","51.3%","6.8%","12,513","6.7%","12.8%","33.1%","22.4%","9.8%","10.7%","4.5%","80.5%","15.2%","1,970","88.1%","15.4%","2,346","86.4%","20.2%","5,221","82.3%","13.8%","2,976","67.9%","13.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,174","13.5%","25.0%","48.4%","13.0%","13,079","6.4%","8.9%","32.0%","22.7%","12.5%","11.5%","6.1%","84.8%","17.6%","1,734","97.9%","24.3%","2,345","85.4%","18.3%","5,188","90.9%","18.3%","3,812","69.9%","13.0%"
"Rappahannock County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","460","13.3%","47.0%","39.8%","0.0%","5,578","6.7%","9.3%","24.1%","22.4%","5.6%","17.7%","14.3%","84.1%","32.0%","600","97.3%","20.3%","857","84.7%","30.7%","2,501","85.6%","34.5%","1,620","76.5%","33.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
